10;10;9;12;11
14;11;8;14;12
10;14;12;13;8
9;8;14;8;9
10;14;10;13;12
10;12;9;9;10
7;10;9;9;10
12;8;9;10;14
10;13;8;14;12
13;11;12;10;10
10;9;12;10;8
12;8;12;12;12
8;10;9;10;10
9;9;14;13;13
9;12;10;10;8
14;12;10;11;11
12;12;8;11;13
8;10;9;14;8
9;12;13;13;9
11;12;10;14;13
10;12;10;9;11
10;8;11;10;14
8;10;12;12;9
9;9;10;12;8
10;8;10;9;12
8;10;14;14;14
10;9;11;10;12
14;14;9;11;11
10;8;13;8;14
9;9;13;10;8
8;14;13;10;14
12;10;14;12;12
11;9;9;12;12
12;10;10;9;14
8;9;11;9;9
13;8;9;14;9
10;11;13;14;9
10;9;14;12;10
10;8;10;9;11
9;9;10;11;14
12;14;10;8;9
8;9;11;10;12
9;13;12;13;11
7;10;12;8;10
9;12;12;11;9
12;9;12;9;10
8;14;13;8;7
8;10;9;14;9
11;9;11;10;10
9;13;12;9;12
13;13;8;10;11
9;10;12;11;9
12;12;8;9;14
10;8;8;12;13
14;9;10;12;13
12;13;8;13;12
9;10;12;11;8
12;11;9;9;14
11;12;13;12;12
12;8;7;9;13
8;11;9;9;14
11;11;13;14;9
9;8;14;13;10
11;10;11;13;9
10;9;9;11;11
14;10;12;12;14
10;9;12;12;9
9;13;14;13;8
10;9;11;12;9
10;12;10;9;9
10;13;11;9;14
9;8;10;14;8
8;9;12;9;14
10;12;13;9;12
11;9;9;13;11
10;12;12;9;10
12;8;9;12;9
10;12;10;11;10
8;12;9;10;9
9;12;8;8;10
11;8;10;12;12
14;10;9;8;14
10;9;11;9;13
12;12;8;14;12
10;8;9;9;9
10;9;11;9;11
13;8;8;9;7
14;14;9;10;7
11;13;13;13;10
9;12;13;12;11
7;12;11;8;10
10;9;13;8;9
11;12;14;8;12
14;10;12;12;7
9;10;12;10;8
8;14;12;12;11
9;12;13;9;13
9;11;11;8;9
13;9;14;12;14
10;10;10;14;12
